test_id,reference_int,reference_hex,hw_hex,hw_int,abs_error_int,rel_error,squared_error,exact_match
9439,-73,FFB7,FFB7,-73,0,0.0,0,1
9440,-47,FFD1,FFD1,-47,0,0.0,0,1
9441,-83,FFAD,FFAD,-83,0,0.0,0,1
9442,-136,FF78,FF78,-136,0,0.0,0,1
9443,-84,FFAC,FFAC,-84,0,0.0,0,1
9444,73,0049,0049,73,0,0.0,0,1
9445,-57,FFC7,FFC7,-57,0,0.0,0,1
9446,80,0050,0050,80,0,0.0,0,1
9447,-139,FF75,FF75,-139,0,0.0,0,1
9448,21,0015,0015,21,0,0.0,0,1
9449,6,0006,0006,6,0,0.0,0,1
9450,25,0019,0019,25,0,0.0,0,1
9451,125,007D,007D,125,0,0.0,0,1
9452,-23,FFE9,FFE9,-23,0,0.0,0,1
9453,108,006C,006C,108,0,0.0,0,1
9454,-73,FFB7,FFB7,-73,0,0.0,0,1
9455,-67,FFBD,FFBD,-67,0,0.0,0,1
9456,156,009C,009C,156,0,0.0,0,1
9457,-22,FFEA,FFEA,-22,0,0.0,0,1
9458,-210,FF2E,FF2E,-210,0,0.0,0,1
9459,80,0050,0050,80,0,0.0,0,1
9460,87,0057,0057,87,0,0.0,0,1
9461,-50,FFCE,FFCE,-50,0,0.0,0,1
9462,-62,FFC2,FFC2,-62,0,0.0,0,1
9463,50,0032,0032,50,0,0.0,0,1
9464,39,0027,0027,39,0,0.0,0,1
9465,-13,FFF3,FFF3,-13,0,0.0,0,1
9466,-98,FF9E,FF9E,-98,0,0.0,0,1
9467,-100,FF9C,FF9C,-100,0,0.0,0,1
9468,136,0088,0088,136,0,0.0,0,1
9469,158,009E,009E,158,0,0.0,0,1
9470,-53,FFCB,FFCB,-53,0,0.0,0,1
9471,-8,FFF8,FFF8,-8,0,0.0,0,1
9472,148,0094,0094,148,0,0.0,0,1
9473,-72,FFB8,FFB8,-72,0,0.0,0,1
9474,1,0001,0001,1,0,0.0,0,1
9475,-10,FFF6,FFF6,-10,0,0.0,0,1
9476,41,0029,0029,41,0,0.0,0,1
9477,-107,FF95,FF95,-107,0,0.0,0,1
9478,120,0078,0078,120,0,0.0,0,1
9479,89,0059,0059,89,0,0.0,0,1
9480,-11,FFF5,FFF5,-11,0,0.0,0,1
9481,-148,FF6C,FF6C,-148,0,0.0,0,1
9482,12,000C,000C,12,0,0.0,0,1
9483,198,00C6,00C6,198,0,0.0,0,1
